iter	Logloss
0	0.6724978856
1	0.655198733
2	0.6369327364
3	0.6194993428
4	0.6030179887
5	0.5875455765
6	0.5710035052
7	0.5539226078
8	0.5374882108
9	0.5197764805
10	0.5060652778
11	0.4903392792
12	0.4790357862
13	0.4655085972
14	0.450549716
15	0.4383839199
16	0.4271043142
17	0.4140149979
18	0.4014336722
19	0.3905663717
20	0.3807310831
21	0.3716157732
22	0.3628860655
23	0.3533706665
24	0.3437879199
25	0.335753509
26	0.32657839
27	0.3195131166
28	0.3112933068
29	0.3030839193
30	0.2957057045
31	0.2887668155
32	0.280720302
33	0.2745219866
34	0.2678149995
35	0.2617459524
36	0.2557387352
37	0.2499400775
38	0.2438451676
39	0.2381798426
40	0.2328488032
41	0.2274777095
42	0.2224126089
43	0.2171346119
44	0.2114136333
45	0.2075507754
46	0.2028579258
47	0.1987035388
48	0.1941373916
49	0.1906439463
50	0.1865121864
51	0.1821311088
52	0.1772272019
53	0.1737004235
54	0.1703404472
55	0.1667252609
56	0.1632409777
57	0.159549804
58	0.1563945611
59	0.1536575045
60	0.1502098697
61	0.1477433159
62	0.1447986308
63	0.1420961789
64	0.1386511666
65	0.1361215569
66	0.1335793223
67	0.1314494269
68	0.1293117432
69	0.1268488907
70	0.1246696313
71	0.1228180613
72	0.1207541511
73	0.1184908322
74	0.1167159308
75	0.1145850363
76	0.1126747358
77	0.1106439999
78	0.1086587111
79	0.1072713193
80	0.1055295013
81	0.1037235487
82	0.1019873506
83	0.1003682954
84	0.09888887405
85	0.09739762261
86	0.09602650007
87	0.09464855421
88	0.09340348698
89	0.09207148211
90	0.09053874016
91	0.08934919039
92	0.08794053396
93	0.08665752411
94	0.08545918124
95	0.08450383232
96	0.08327056113
97	0.08228911105
98	0.08114098935
99	0.0798252083
100	0.07878998348
101	0.07781581652
102	0.07686979998
103	0.07589933986
104	0.0748723575
105	0.07399932543
106	0.07318827084
107	0.07259388197
108	0.07164952869
109	0.07055417129
110	0.06964750517
111	0.06903283937
112	0.06831915606
113	0.06740641594
114	0.06664805753
115	0.0659312691
116	0.06520166851
117	0.06449348586
118	0.06386898813
119	0.06322256724
120	0.06257678214
121	0.06190805208
122	0.0612741652
123	0.06067690395
124	0.06012475491
125	0.05951281956
126	0.05892823424
127	0.0582746097
128	0.0576082241
129	0.05716433412
130	0.05661746434
131	0.05598052343
132	0.05534001759
133	0.05481256757
134	0.05428917067
135	0.05382276717
136	0.05339633283
137	0.05295557068
138	0.05246576809
139	0.0519738027
140	0.05144143105
141	0.05093992324
142	0.05049109459
143	0.05006512006
144	0.04951615561
145	0.04900236357
146	0.04857368129
147	0.04820682889
148	0.04772663684
149	0.04736425763
150	0.04690572478
151	0.04657445351
152	0.0461843553
153	0.04583522536
154	0.04544484048
155	0.04507737216
156	0.04465713387
157	0.044348203
158	0.04400434664
159	0.04379833028
160	0.04344219537
161	0.04308151631
162	0.04273467405
163	0.04231803474
164	0.04205517542
165	0.0417888647
166	0.04146746227
167	0.04117851598
168	0.04090111029
169	0.0406080087
170	0.04034197614
171	0.04011873404
172	0.0397167887
173	0.03936912332
174	0.03915945689
175	0.03895443962
176	0.03864461751
177	0.03836097888
178	0.03815334468
179	0.03791574069
180	0.03766903991
181	0.03737952312
182	0.03714068163
183	0.03691578763
184	0.03662764742
185	0.03637730508
186	0.03610040176
187	0.03582466216
188	0.03562111514
189	0.03535501162
190	0.03517846834
191	0.03497508594
192	0.03478474276
193	0.03466255608
194	0.03442650182
195	0.0341338941
196	0.03390191283
197	0.03370183422
198	0.0334519971
199	0.0332431112
200	0.03302111512
201	0.03280315513
202	0.0326084523
203	0.03244687546
204	0.03227509487
205	0.03207421019
206	0.03187255348
207	0.03160140628
208	0.03138608024
209	0.03127355235
210	0.03124592134
211	0.03103038811
212	0.03084442729
213	0.0307367586
214	0.03060019868
215	0.03041863725
216	0.03020122505
217	0.03003248714
218	0.02986150696
219	0.0297157509
220	0.02953922465
221	0.02934185948
222	0.02915792806
223	0.02897501276
224	0.02883957681
225	0.02866196065
226	0.02846042315
227	0.02833573023
228	0.02815580936
229	0.02802231766
230	0.02784528051
231	0.02775446574
232	0.02762010835
233	0.02753371284
234	0.02739751907
235	0.02728271484
236	0.02715097155
237	0.02700725056
238	0.02686684472
239	0.02675103574
240	0.02660612265
241	0.02645487445
242	0.02638836986
243	0.02623438835
244	0.02611243157
245	0.02596202351
246	0.02586598056
247	0.02575608378
248	0.02563482807
249	0.02548187971
250	0.02543364252
251	0.02530730906
252	0.0252089245
253	0.02509216751
254	0.02502281893
255	0.024896792
256	0.02479418686
257	0.02466050784
258	0.02452023256
259	0.02435038203
260	0.02419650838
261	0.02405065298
262	0.02391978389
263	0.02380969127
264	0.02369175922
265	0.02361324146
266	0.02344926056
267	0.02338705744
268	0.0233108302
269	0.02325310594
270	0.02313030901
271	0.02301970834
272	0.02288615845
273	0.02280996953
274	0.02267340961
275	0.02253548304
276	0.02243827638
277	0.02234718913
278	0.02226650573
279	0.02219657529
280	0.02212771915
281	0.02199893906
282	0.02190778369
283	0.02182349421
284	0.0217121428
285	0.02163774343
286	0.02159578034
287	0.02152101199
288	0.0214600563
289	0.02143322286
290	0.0213109269
291	0.02125609205
292	0.02116512685
293	0.02103477716
294	0.02094204653
295	0.02089446641
296	0.02083534002
297	0.02079169239
298	0.02069957767
299	0.02061604602
300	0.0205447021
301	0.0205048493
302	0.02042470092
303	0.02039537827
304	0.02030961286
305	0.02027186609
306	0.02019542456
307	0.02014719872
308	0.02005686788
309	0.01997153816
310	0.0199108365
311	0.01987110433
312	0.01979847891
313	0.01972632465
314	0.01965788716
315	0.01958507158
316	0.01949933739
317	0.01943556042
318	0.0193288823
319	0.0192364284
320	0.01918319577
321	0.01911588084
322	0.01902267621
323	0.01897187602
324	0.01888858137
325	0.01883452279
326	0.01877267588
327	0.01872582947
328	0.01864747206
329	0.01857114974
330	0.01847796639
331	0.01841189606
332	0.01837675344
333	0.01831174181
334	0.01823840822
335	0.01816665842
336	0.0181206039
337	0.01807887497
338	0.01799388017
339	0.01794800304
340	0.01791951486
341	0.01784202598
342	0.01774020422
343	0.01766164672
344	0.0176157483
345	0.01754779759
346	0.01746396791
347	0.01738628887
348	0.01731768676
349	0.01727926731
350	0.01725094943
351	0.01722732896
352	0.0171631972
353	0.0170844027
354	0.01701728219
355	0.01696639685
356	0.0169087322
357	0.01683723075
358	0.01682300653
359	0.01679119042
360	0.01674773296
361	0.01670688958
362	0.01663799939
363	0.01658476534
364	0.01652230535
365	0.01647445134
366	0.01644580989
367	0.01637886252
368	0.01631544601
369	0.01629507542
370	0.01624526154
371	0.01620677114
372	0.0161398337
373	0.01606596084
374	0.01599959816
375	0.01595438946
376	0.01592924765
377	0.01588854052
378	0.01582231976
379	0.01579385854
380	0.01574923311
381	0.01570925542
382	0.01568509567
383	0.01565702756
384	0.01561856554
385	0.01556833017
386	0.01554524757
387	0.01547076589
388	0.01542427284
389	0.01536427793
390	0.01534243141
391	0.01526547046
392	0.01524487705
393	0.01520872684
394	0.01518361909
395	0.01516043572
396	0.01510732798
397	0.01508688217
398	0.01504048847
399	0.01500766902
400	0.01496394191
401	0.01490192328
402	0.01485823733
403	0.01483025437
404	0.01480058403
405	0.01475614877
406	0.01470855588
407	0.01464431343
408	0.01459794385
409	0.01453260723
410	0.01447163877
411	0.0144317065
412	0.01441468795
413	0.01439201264
414	0.01438230134
415	0.01436226709
416	0.01433329781
417	0.01431132782
418	0.01428829346
419	0.01425146205
420	0.01422246013
421	0.01418940794
422	0.01416766644
423	0.01414025823
424	0.01412704019
425	0.01408183007
426	0.0140339647
427	0.01399666071
428	0.01396885089
429	0.01394480751
430	0.01386186339
431	0.01382248742
432	0.01375042399
433	0.013692098
434	0.01365949143
435	0.01358526945
436	0.01357559363
437	0.01355346753
438	0.01351011083
439	0.01348911439
440	0.01344103473
441	0.01342457817
442	0.0133875949
443	0.01337195436
444	0.01332847561
445	0.01327440994
446	0.01324432521
447	0.0131903461
448	0.0131287816
449	0.01309134989
450	0.01305945998
451	0.01303073906
452	0.01300502107
453	0.01296555996
454	0.01292518207
455	0.0128771237
456	0.01284402041
457	0.01278870163
458	0.0127570842
459	0.01274074401
460	0.01272452587
461	0.0127001944
462	0.01265430734
463	0.01264412914
464	0.01259040265
465	0.01255140276
466	0.01249588813
467	0.01246740279
468	0.0124584408
469	0.01243986118
470	0.0124141134
471	0.01238116338
472	0.01233991555
473	0.01230974708
474	0.01228938926
475	0.01226985455
476	0.01224334183
477	0.01221618198
478	0.01219604555
479	0.01216929299
480	0.01211280056
481	0.01206620818
482	0.01203159633
483	0.01200207074
484	0.01195963508
485	0.01191425891
486	0.01190178735
487	0.01188569693
488	0.01184360115
489	0.01179655464
490	0.01175913073
491	0.01172868127
492	0.01171193875
493	0.01167149913
494	0.01165041682
